topic,caption
a person asking a rhetorical question about someone's interests,NICK GIANELLA Y U ONLY LIKE CARS N GUNS?!
musician,Germy why u no listen to other bands!!!
A person using a bad reasoning process.,Heart! Y U NO logical?
a person,women y u no order ur own fries?
a sports fan,Purdue Fans Y U NO have no banners?
A person making a joke about women's body types,Women In the olympics Y U No Boobs ?
Philosophy,Philosoraptor why u no everything
A hairdresser,phone with advanced technology y u no charge yourself?
a person sitting at a table,"CREEPY, SMELLY FAT KID Y U NO SIT AT OPPOSITE END OF TABLE"
a sportsman who lost a competition,"Coach, Y u no tell me about tourney?"
a person,Rachel Y U SO CHARMING?!
a person complaining about a product or service,Y dont u want Save tour country
a student,Biology 1020 Y U so boring?!
a person,Google Y u no celebrate my birthday?!
a product with missing accessories,batteries y u no included
a person with a slow internet connection,MACCAS FREE WIFI.. Y U NO LOAD?!
a person complaining about internet behavior,4chan users y u no stop posting dicks everywhere?!
person,Mervin Why u so stubborn?!!
A person who died in a car accident,Paul walker y u no drive that night?!
A person admiring a cool product.,omg dyson why u so cool
a gamer,VALVe Y u no count to 3
a person riding a bike,U C ME rollin' Y U NO h8in'
Explorer,Dora The explorer y u no get gps?
a person not liking clowns,chloe y u no like clowns
a person disapproving of girls,ALIN why u no like them girlz
a person who forgot an exam,Brains y u no remember at exam?
a person saying they find someone cute,john and edward y u so cute
a person who is not tech-savvy,"Girl, Y U SO technical?"
a person being surprised by a roommate's behavior,ROOMMATE Y U no WARN ME OF SEXY TIME?
a student struggling with a difficult course,PHYSICS COURSEWORK Y U SO COMPLICATED
government,government y u no stop stealing from us
A person recognizing a person.,"hey, soul sister y u no recognise mister mister"
a news channel,Fox News Why u have no news about foxes
a person who is being bullied,bullies y u no see that harassement not funny?
a person praising fast food.,"fast food kill over 7,000 people each year why you so good and cheap?!"
a person comparing a fictional world to the real world,ANIME Y U NO BE REAL LIFE?
a person eating,y u come when we have lunch?
a social media platform,facebook Y U NO ENTERTAIN ME
a sportsman who lost a competition,chelsea y u no win??
a person frustrated with life,LIFE Y U NO GET BETTER?!
a person,emily scigliano y u so chongalicious
A person,Jonathan Y U NO Answer?!
a person who is antisocial,Y U SO ANTISOCIAL WHEN YOUR FRIENDS ARE AROUND?!
A person who didn't receive a phone call,I GAVE YOU NUMBER Y U NO CALL ME MAYBE!?
a person expecting a response,Y u No reply dougy
a person using a bad hairdresser,Geo Y U NO SUGI PULA?
a person using a faulty machine,SMART CARD MACHINE WHY U NO WORK!?!
a person who wants attention,girls y u no grab me and tell me hey?
a company that is successful,DisNey Y U So SucesfOl on app store???
a sportsman,Y U not listen to me LEBRON IS NOT CLUTCH
a person comparing two brands,blackberry and apple y u no fruits!!!
a person reviewing for a test,teachers y u no make test same as test review?
a person not having a driver's license,Spongebob Y U NO GET UR LICENSE YET?!
a person with an imaginary friend,psychiatrist y u no see my imaginary friend
a person complaining about a celebrity's behavior,Justin Bieber Y U No Let selena have real man
a person who is angry,Elaine Y u so angry?
a person with a physical limitation,humpty dumpty y u no sit on bench like normal person?!
a person,Chiara Why u so slow
a person doing laundry,people doing laundry y u no move stuff over
a person using a specific entrance,"KOOL-AID GUY, WHY YOU NO USE FRONT DOOR?"
a person asking for love,Meatloaf Y U NO DO THAT FOR LOVE?
a person expressing frustration,Enemies y u no eat shit and die
a person expressing frustration,girls y u no have other words than 'aahw'
a person who is sick,disturbed Y U NO down with the sickness?
a person encouraging others to vote,FRIENDS Y U NO VOTE?
a person who is struggling with math problems,math y u no stop having problems?
