1,a person waiting for a job offer,CHRIS  Y U NO HAVE DAY PLACE YET?
9,a computer program,excel  vba y u no work properly
12,a person wanting to buy a ticket.,Y U NO  Buy Ticket.?!
15,a man using a women's restroom,Idris sir  Y u use the girl's toilet
16,a game,You ask to play Draw Something  Y U NO PLAY BACK!!!
21,a coworker not shutting up,stupid co-worker  y u no shut up
22,a bacterium,Sense.coli  y u not glow?
23,a person waiting for a response to an email,I send email  Y U NO email back
24,a person praising an online marketplace,eBay  y u so freaking awesome??
25,a woman wanting to know what she wants,Women  y u no know what you wANT
26,a celebrity criticizing someone's behavior,Justin beiber  Y u so girly
29,a person struggling financially,Hobos  Y u no earn money?
30,"### Response:
a person not sleeping",it's 5 o'clock in the morning  y u no sleeping
31,a fan complaining about a TV show,DBZ  Y U NO POWER UP IN ONE EPISODE!?
34,a person with a stuffy nose,Stuffy nose  y u switch nostrils
36,a movie reference,Silence of The Lambs  Y U no put the lotion on the skin
37,a food packaging complaint,"PRINGLES,  Y U NO MAKE WIDER CANS"
40,a food that doesn't taste like apple,aPPLE COMPUTER  Y U NO TASTE LIKE APPLE?
42,music industry,Music Industry  Y U NO GOOD ANYMORE!?!
43,a shipping company not shipping quickly,UPS  Y U NO ShiP faster??
44,a parking issue,Idiots  Y U NO PARK PROPERLY?!
45,a person distracted by a cat,A.d.d  y u no- oh look a cat!
46,a music performance,Avicii Playing Levels.  Y U Dont sing DUDUDUUDUDUDUDUUDUDUDUDUDUDUDUDUUDUDUDU
47,a person asking for beer,FRIDGE!  Y U NO HAVE BEER?!
49,a car going fast,Ford  Why you no go fast?!
50,a girl playing with a cat,Y U NO THINK ITS CUTE THAT I DO  <emp>
52,a candy preference,Starburst  Y U no always cherry
53,a girl demanding a phone,Y U NO  GIMME UR FON
56,a guy looking for love online,Forever alone guy  y u no use e-harmony?!
57,a person making a comment about someone's appearance,why you so  ugly
58,a school having a long time in halls like a TV show,School  Y u no have hour long time in halls like Tv show?
59,a person fishing for likes,Y U ALWAYS  FISHING FOR LIKES!
60,a computer problem,steam browser  y u no work properly?
61,a person watching a pot of water,pot of water  y u no boil when i watch u
62,a desire for candy,CANDY  Y U NO LAST FOREVER?
66,a vending machine,Vending Machine  Y U No give me snack i just paid for
67,a husband not washing well,Husband  y u no wash ass very good?
74,a parent watching TV,mom  y u talk while im watching tv!?
75,a therapist,THERAPY  WHY YOU NO GOOD?
76,a music concert,Bonnie tyler  y u no turn around bright eyes?
77,a gamer,Cod MW3  Y U No longer
78,a teacher wanting a vacation,Teacher  Y u no take vacation?!
79,a person proofreading a meme,People  y u no proofread meme before posting?!
80,a boring subject,Chemistry  y u so boring?!
82,a food related topic,CHEETOS  Y U MAKE ME WASH HANDS
84,a person working too much,Sean  Y u so stuPid And work too much?
86,a football game,Niners!  Y u no beat giants?
87,a person not revealing their name,WEIRDO WITH 5 COLOURS IN HAIR  Y U NO TELL MCFLY YOUR NAME?
89,a person feeling unloved,no text back in 30 minutes  y u no love me?
90,a man wanting flowers for someone,Bruno Mars  Y u no bought her flowers
91,a discussion about online commenting system,Youtube  y u no make nested comments?
93,a character in a fantasy world,peach  y u no in this castle?
95,a person wanting to run,alL THE OTHER KIDS WITH PUMPED UP KICKS  Y U NO RUN?
96,a social media platform,Facebook  Y U NO STAY SAME?
97,a person feeling abandoned,PEOPLE  Y U NO USE ME ANYMORE??
